"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.269654056542355,0.308860360112096,-4.24339145724077,0.0000220166887024068,0.146701563947785,0.49252936576907
"hiv_statusPLWH",0.915180562332392,0.0887321986594854,-0.998892156752718,0.317846936103952,0.769309945084291,1.08942826203692
"age_decade",1.04503831002005,0.0451976526445911,0.974686570505792,0.329715756483066,0.956618253510104,1.14211143388459
"SEXFemale",0.773385429796212,0.0979870071499535,-2.62256952852771,0.00872694591183847,0.638160735278442,0.937122497280853
"race_eth_4catNon-Hispanic Black",1.87262263853333,0.126711910927639,4.95091522348401,0.000000738652777962669,1.46380907456087,2.40611396425993
"race_eth_4catHispanic",1.18550917222994,0.164043071611674,1.03736391811839,0.299566287410244,0.858880963736745,1.63451584324616
"race_eth_4catOther",1.55745748309541,0.252411531881161,1.75528697057461,0.0792102340207941,0.939819956095236,2.53533232665
"REGION_factorNortheast (NY)",1.2962642895347,0.151175605074936,1.71645752051899,0.0860783364918004,0.965199853652271,1.74637750404989
"REGION_factorMid-Atlantic (DC, MD)",0.554885509360791,0.175928915957917,-3.34790601504758,0.000814246197421689,0.392112031977119,0.782037541777602
"REGION_factorSouth (AL, FL, GA, MS, NC)",1.48669906443474,0.145804754131458,2.71978970582507,0.0065323445116485,1.11916039264213,1.98274768644237
"REGION_factorMidwest (IL, OH, PA)",1.15570525984569,0.147413091893174,0.981668387461885,0.326263244209501,0.866904635084027,1.54559583666605
"ins_3catPrivate",0.728857396716175,0.415297653930617,-0.761567463829726,0.446318199742911,0.302908586410243,1.57760747709591
"ins_3catPublic",0.56609296670272,0.507286311480349,-1.1216485626854,0.262011894873729,0.186269108668306,1.42112889067034
